items,2017,2018,2019,2020,2021,2022F,2016
Balance_sheet,Đã kiểm toán,Đã kiểm toán,Đã kiểm toán,Đã kiểm toán,Đã kiểm toán,Dự báo,
Công ty Kiểm toán,Kiểm toán KPMG,,,Kiểm toán KPMG,Kiểm toán KPMG,,
Loại Ý kiến Kiểm toán,Chấp nhận toàn phần,,,Chấp nhận toàn phần,Chấp nhận toàn phần,,
     Chi phí thuế TNDN hoãn lại,3.605,1.192,396.075,504.025,-902.172,0,
Chi phí thuế thu nhập doanh nghiệp,-2230.773,-3647.164,-4596.389,-4577.043,-5449.535,0,
Lợi nhuận sau thuế,9110.588,14622.062,18525.988,18472.518,21939.045,29172.0078888889,
Lợi ích của cổ đông thiểu số,-19.518,-16.484,-15.09,-21.207,-20.232,0,
Cổ đông của Công ty mẹ,9091.07,14605.578,18510.898,18451.311,21918.813,28616.1956666667,
Lãi cơ bản trên cổ phiếu (VND),2103,3584,4481,4470,4195,0,
CF trực tiếp,Đã kiểm toán,Đã kiểm toán,Đã kiểm toán,Đã kiểm toán,Chưa kiểm toán,,Đã kiểm toán
Công ty Kiểm toán,Kiểm toán KPMG,,,Kiểm toán KPMG,Kiểm toán KPMG,,EY Vietnam
Loại Ý kiến Kiểm toán,Chấp nhận toàn phần,,,Chấp nhận toàn phần,Chấp nhận toàn phần,,Chấp nhận toàn phần
Lưu chuyển tiền từ hoạt động kinh doanh,0,0,0,0,0,,0
     Thu nhập lãi và các khoản thu nhập tương tự nhận được,45928.055,54473.26,66956.606,70063.617,70805.813,,36779.872
     Chi phí lãi và các chi phí tương tự đã trả,-22219.679,-27395.363,-31567.168,-33194.191,-28835.1,,-17717.796
     Thu nhập từ hoạt động dịch vụ nhận được,2538.209,3402.492,4306.844,6607.317,5727.973,,2106.705
     Chênh lệch số tiền thực thu/thực chi từ hoạt động kinh doanh,2502.513,3203.39,3068.655,3464.399,4579.228,,2488.711
          Thu nhập thuần từ hoạt động kinh doanh ngoại hối và vàng,2502.513,3203.39,3068.655,3464.399,4579.228,,2488.711
          Thu nhập từ hoạt động kinh doanh chứng khoán,0,0,0,0,0,,0
     Thu nhập khác,-90.716,-42.957,-115.005,-628.988,-526.176,,-209.799
"     Tiền thu các khoản nợ đã được xử lý, xóa, bù đắp bằng nguồn rủi ro",2185.1,3272.247,3179.526,2421.725,2912.23,,2121.544
"     Tiền chi trả cho nhân viên và hoạt động quản lý, cộng cụ",-10478.516,-12787.284,-14532.712,-14525.026,-16397.187,,-9305.422
     Tiền thuế thu nhập thực nộp trong kỳ,-2082.461,-2585.774,-4827.328,-4680.317,-5877.803,,-1739.934
Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và vốn lưu động,18282.505,21540.011,26469.418,29528.536,32388.978,,14523.881
Những thay đổi về tài sản hoạt động,0,0,0,0,0,,0
     Tiền gửi tại NHNN,0,0,0,0,0,,0
     (Tăng)/Giảm các khoản tiền gửi và cho vay các tổ chức tín dụng khác,-11802.549,2306.008,2189.341,4040.576,-10965.318,,-12195.279
     (Tăng)/giảm các khoản về kinh doanh chứng khoán,-1619.967,-14454.777,-17562.68,10336.784,-14079.392,,-31805.807
     (Tăng)/Giảm các công cụ tài chính phái sinh và các tài sản tài chính khác,-601.696,556.371,177.671,98.312,-303.202,,-230.03
     (Tăng)/Giảm các khoản cho vay khách hàng,-82626.02,-88432.298,-102840.133,-105081.37,-120961.694,,-73085.531
"     (Tăng)/Giảm lãi, phí phải thu",0,0,0,0,0,,0
     Tăng/(Giảm) nguồn dự phòng để bù đắp tổn thất các khoản,-6212.835,-4083.722,-4502.397,-2805.965,-2538.37,,-7403.039
     (Tăng)/Giảm khác về tài sản hoạt động,-2109.501,-2666.699,-3354.149,1613.5,-10778.219,,-203.801
Những thay đổi về công nợ hoạt động,0,0,0,0,0,,0
     Tăng/(Giảm) các khoản nợ chính phủ và NHNN,117233.655,-80699.753,1680.491,-51188.811,-31708.879,,12671.86
     Tăng/(Giảm) các khoản tiền gửi và vay các TCTD khác,-5296.202,9581.876,-2906.994,29966.748,6173.944,,103.024
     Tăng/(Giảm) tiền gửi của khách hàng,118068.373,93409.398,126521.754,103662.698,103210.346,,89288.794
     Tăng/(Giảm) phát hành giấy tờ có giá,7928.128,3246.793,-77.572,-144.015,-3853.426,,7807.306
"     Tăng/(Giảm) vốn tài trợ, uỷ thác đầu tư của chính phủ và các TCTD khác",23.153,2.65,-5.372,-5.752,-6.972,,0
     Tăng/(Giảm) các công cụ tài chính phái sinh và các khoản nợ tài chính khác,0,0,0,52.031,-52.031,,0
"     Tăng/(Giảm) lãi, phí phải trả",0,0,0,7396.305,0,,0
     Tăng/(Giảm) khác về công nợ hoạt động,1480.116,824.98,720.675,-1866.142,1483.406,,-1231.89
Lưu chuyển tiền thuần từ hoạt động kinh doanh trước thuế thu nhập DN,152747.16,-58869.162,26510.053,25603.435,-51990.829,,-1760.512
     Thuế thu nhập doanh nghiệp đã trả,0,0,0,0,0,,0
     Chi từ các quỹ của TCTD,-1141.469,-1365.175,-1434.221,0,-2789.349,,-1199.774
     Thu được từ nợ khó đòi,0,0,0,0,0,,0
Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,151605.691,-60234.337,25075.832,25603.435,-54780.178,,-2960.286
Lưu chuyển tiền từ hoạt động đầu tư,0,0,0,0,0,,0
     Mua sắm TSCĐ,-1139.976,-1133.639,-1005.065,-3001.902,-1621.433,,-1272.248
"     Tiền thu được từ thanh lý, nhượng bán tài sản cố định",7.542,6.767,11.589,10.569,8.408,,7.206
"     Tiền chi từ thanh lý, nhượng bán TSCĐ",-2.396,-1.692,-6.315,-3.053,-1.201,,-1.762
     Mua sắm Bất động sản đầu tư,0,0,0,0,0,,0
"     Tiền thu từ bán, thanh lý bất động sản đầu tư",0,0,0,0,0,,0
"     Tiền chi ra do bán, thanh lý bất động sản đầu tư",0,0,0,0,0,,0
"     Tiền chi đầu tư, góp vốn vào các đơn vị khác",0,0,0,0,-83.502,,0
